method,repeat,success,real_actions_used,wasted_actions,duplicate_tool_calls,illegal_tool_calls,catalog_tokens,total_tokens,replanned_tasks,zone3_touched,scope_hit,tree_depth,d0,proposed_actions,actual_actions,error,elapsed_seconds,llm_calls,tokens_by_source,dag_task_count,attempts,hidden_limit_triggered,first_attempt_deviation,clipped_actions,out_of_scope_proposals,method_config,git_commit,model,base_url,temperature,max_tokens,max_actions,formal,prompt_version,protocol_hash,partitions
hierarchical,1,0,2,1,1,0,3071,11888,"[""task_region1_voltage_recovery"", ""task_region2_voltage_recovery"", ""task_region1_voltage_recovery""]",0,0,3,8,"[{""actions"": [{""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.04}, {""gen_id"": 8, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.04}], ""attempt"": 1, ""task_id"": ""task_region1_voltage_recovery""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 1, ""task_id"": ""task_region2_voltage_recovery""}, {""actions"": [{""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.05}, {""gen_id"": 8, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.05}], ""attempt"": 2, ""task_id"": ""task_region1_voltage_recovery""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}], ""attempt"": 2, ""task_id"": ""task_region2_voltage_recovery""}, {""actions"": [{""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.04}], ""attempt"": 3, ""task_id"": ""task_region1_voltage_recovery""}]","[[""set_gen_voltage"", 1, 1.05], [""set_gen_voltage"", 8, 1.05]]","{""goal_met"": false, ""error"": ""预演中间步骤新增或恶化越限"", ""prefix"": 1}",6.328,6,"{""orchestration_agent"": {""completion_tokens"": 214, ""prompt_tokens"": 10498, ""total_tokens"": 10712}, ""planner"": {""completion_tokens"": 163, ""prompt_tokens"": 1013, ""total_tokens"": 1176}}",2,3,1,1,"[{""actual"": 1.03, ""gen_id"": 8, ""index"": 1, ""requested"": 1.05}]",0,"{""max_attempts"": 3, ""permission_shrink"": true, ""planner"": true, ""replan_mode"": ""local""}",992c67fe6b67b59ce76de462919db84afebddd67,deepseek-v4-flash,https://api.deepseek.com/v1,0.2,2048,6,1,case39-v2,0ebe047e7705c8fe96b1ee4707b7f1719e8fe9308d334335679376c9c9fb6e17,"[[""task_region1_voltage_recovery""], [""task_region2_voltage_recovery""]]"
two_layer,1,0,0,0,2,1,3738,10495,"[""whole"", ""whole""]",0,1,2,0,"[{""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 1, ""task_id"": ""whole""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 5, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.01}], ""attempt"": 2, ""task_id"": ""whole""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 3, ""task_id"": ""whole""}]",[],"{""success"": true, ""action"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 0.98}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 0.98}], ""goal_met"": false, ""goal_bus_vm"": null, ""goal_shortfall"": 0, ""violation_count"": 6, ""violations"": [{""type"": ""voltage_low"", ""bus_id"": 3, ""value"": 0.942034, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 4, ""value"": 0.939023, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 5, ""value"": 0.942332, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 6, ""value"": 0.927151, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 7, ""value"": 0.92698, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 11, ""value"": 0.940026, ""limit"": 0.95}], ""violations_by_zone"": {""1"": [{""type"": ""voltage_low"", ""bus_id"": 3, ""value"": 0.942034, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 4, ""value"": 0.939023, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 5, ""value"": 0.942332, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 6, ""value"": 0.927151, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 7, ""value"": 0.92698, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 11, ""value"": 0.940026, ""limit"": 0.95}]}, ""not_worse"": true}",3.189,3,"{""orchestration_agent"": {""completion_tokens"": 162, ""prompt_tokens"": 10333, ""total_tokens"": 10495}, ""planner"": {""completion_tokens"": 0, ""prompt_tokens"": 0, ""total_tokens"": 0}}",0,3,0,1,[],1,"{""max_attempts"": 3, ""permission_shrink"": false, ""planner"": false, ""replan_mode"": ""local""}",992c67fe6b67b59ce76de462919db84afebddd67,deepseek-v4-flash,https://api.deepseek.com/v1,0.2,2048,6,1,case39-v2,0ebe047e7705c8fe96b1ee4707b7f1719e8fe9308d334335679376c9c9fb6e17,[]
two_layer_full_restart,1,0,0,0,0,2,3738,10537,"[""whole"", ""whole""]",0,2,2,0,"[{""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 5, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 4, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}], ""attempt"": 1, ""task_id"": ""whole""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.0}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.0}], ""attempt"": 2, ""task_id"": ""whole""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 5, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}], ""attempt"": 3, ""task_id"": ""whole""}]",[],设备超出允许操作区域权限,3.008,3,"{""orchestration_agent"": {""completion_tokens"": 204, ""prompt_tokens"": 10333, ""total_tokens"": 10537}, ""planner"": {""completion_tokens"": 0, ""prompt_tokens"": 0, ""total_tokens"": 0}}",0,3,0,1,[],2,"{""max_attempts"": 3, ""permission_shrink"": false, ""planner"": false, ""replan_mode"": ""full""}",992c67fe6b67b59ce76de462919db84afebddd67,deepseek-v4-flash,https://api.deepseek.com/v1,0.2,2048,6,1,case39-v2,0ebe047e7705c8fe96b1ee4707b7f1719e8fe9308d334335679376c9c9fb6e17,[]
hierarchical_no_shrink,1,0,0,0,0,0,7476,22895,"[""task_region1"", ""task_region2"", ""task_region1"", ""task_region2""]",0,0,3,8,"[{""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 1, ""task_id"": ""task_region1""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.0}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.0}], ""attempt"": 1, ""task_id"": ""task_region2""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}], ""attempt"": 2, ""task_id"": ""task_region1""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}], ""attempt"": 2, ""task_id"": ""task_region2""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.04}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.04}], ""attempt"": 3, ""task_id"": ""task_region1""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}], ""attempt"": 3, ""task_id"": ""task_region2""}]",[],"{""goal_met"": false, ""error"": ""预演中间步骤新增或恶化越限"", ""prefix"": 3}",8.137,7,"{""orchestration_agent"": {""completion_tokens"": 282, ""prompt_tokens"": 21457, ""total_tokens"": 21739}, ""planner"": {""completion_tokens"": 143, ""prompt_tokens"": 1013, ""total_tokens"": 1156}}",2,3,0,1,[],0,"{""max_attempts"": 3, ""permission_shrink"": false, ""planner"": true, ""replan_mode"": ""local""}",992c67fe6b67b59ce76de462919db84afebddd67,deepseek-v4-flash,https://api.deepseek.com/v1,0.2,2048,6,1,case39-v2,0ebe047e7705c8fe96b1ee4707b7f1719e8fe9308d334335679376c9c9fb6e17,"[[""task_region1""], [""task_region2""]]"
hierarchical_full_restart,1,0,4,3,0,0,3738,14367,"[""all"", ""all""]",0,0,3,8,"[{""actions"": [{""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.06}, {""gen_id"": 8, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.06}], ""attempt"": 1, ""task_id"": ""task_region1""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 1, ""task_id"": ""task_region2""}, {""actions"": [{""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.04}, {""gen_id"": 8, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.04}], ""attempt"": 2, ""task_id"": ""task_region1""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 2, ""task_id"": ""task_region2""}, {""actions"": [{""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.05}, {""gen_id"": 8, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.05}], ""attempt"": 3, ""task_id"": ""task_region1""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}], ""attempt"": 3, ""task_id"": ""task_region2""}]","[[""set_gen_voltage"", 1, 1.06], [""set_gen_voltage"", 8, 1.06], [""set_gen_voltage"", 1, 1.05], [""set_gen_voltage"", 8, 1.05]]",PARAMETER 偏差：设定请求与实测不符，请依据当前断面重规划,6.876,7,"{""orchestration_agent"": {""completion_tokens"": 282, ""prompt_tokens"": 12917, ""total_tokens"": 13199}, ""planner"": {""completion_tokens"": 155, ""prompt_tokens"": 1013, ""total_tokens"": 1168}}",2,3,1,1,"[{""actual"": 1.03, ""gen_id"": 8, ""index"": 1, ""requested"": 1.06}, {""actual"": 1.03, ""gen_id"": 8, ""index"": 3, ""requested"": 1.05}]",0,"{""max_attempts"": 3, ""permission_shrink"": true, ""planner"": true, ""replan_mode"": ""full""}",992c67fe6b67b59ce76de462919db84afebddd67,deepseek-v4-flash,https://api.deepseek.com/v1,0.2,2048,6,1,case39-v2,0ebe047e7705c8fe96b1ee4707b7f1719e8fe9308d334335679376c9c9fb6e17,"[[""task_region1""], [""task_region2""]]"
two_layer,2,0,0,0,0,1,3738,10558,"[""whole"", ""whole""]",0,1,2,0,"[{""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 2, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 3, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 4, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}], ""attempt"": 1, ""task_id"": ""whole""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.0}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.0}], ""attempt"": 2, ""task_id"": ""whole""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.04}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.04}], ""attempt"": 3, ""task_id"": ""whole""}]",[],"{""success"": true, ""action"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.04}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.04}], ""goal_met"": false, ""goal_bus_vm"": null, ""goal_shortfall"": 0, ""violation_count"": 4, ""violations"": [{""type"": ""voltage_low"", ""bus_id"": 4, ""value"": 0.948539, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 6, ""value"": 0.935974, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 7, ""value"": 0.935726, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 11, ""value"": 0.948675, ""limit"": 0.95}], ""violations_by_zone"": {""1"": [{""type"": ""voltage_low"", ""bus_id"": 4, ""value"": 0.948539, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 6, ""value"": 0.935974, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 7, ""value"": 0.935726, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 11, ""value"": 0.948675, ""limit"": 0.95}]}, ""not_worse"": true}",2.941,3,"{""orchestration_agent"": {""completion_tokens"": 225, ""prompt_tokens"": 10333, ""total_tokens"": 10558}, ""planner"": {""completion_tokens"": 0, ""prompt_tokens"": 0, ""total_tokens"": 0}}",0,3,0,1,[],1,"{""max_attempts"": 3, ""permission_shrink"": false, ""planner"": false, ""replan_mode"": ""local""}",992c67fe6b67b59ce76de462919db84afebddd67,deepseek-v4-flash,https://api.deepseek.com/v1,0.2,2048,6,1,case39-v2,0ebe047e7705c8fe96b1ee4707b7f1719e8fe9308d334335679376c9c9fb6e17,[]
two_layer_full_restart,2,0,0,0,0,1,3738,10954,"[""whole"", ""whole""]",0,1,2,0,"[{""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.0}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.0}], ""attempt"": 1, ""task_id"": ""whole""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}], ""attempt"": 2, ""task_id"": ""whole""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.04}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.04}, {""gen_id"": 5, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.03}], ""attempt"": 3, ""task_id"": ""whole""}]",[],设备超出允许操作区域权限,2.622,3,"{""orchestration_agent"": {""completion_tokens"": 162, ""prompt_tokens"": 10792, ""total_tokens"": 10954}, ""planner"": {""completion_tokens"": 0, ""prompt_tokens"": 0, ""total_tokens"": 0}}",0,3,0,1,[],1,"{""max_attempts"": 3, ""permission_shrink"": false, ""planner"": false, ""replan_mode"": ""full""}",992c67fe6b67b59ce76de462919db84afebddd67,deepseek-v4-flash,https://api.deepseek.com/v1,0.2,2048,6,1,case39-v2,0ebe047e7705c8fe96b1ee4707b7f1719e8fe9308d334335679376c9c9fb6e17,[]
hierarchical,2,0,2,1,0,0,3071,11858,"[""task_region1"", ""task_region2"", ""task_region1""]",0,0,3,8,"[{""actions"": [{""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.04}, {""gen_id"": 8, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.04}], ""attempt"": 1, ""task_id"": ""task_region1""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 1, ""task_id"": ""task_region2""}, {""actions"": [{""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.05}, {""gen_id"": 8, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.05}], ""attempt"": 2, ""task_id"": ""task_region1""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}], ""attempt"": 2, ""task_id"": ""task_region2""}, {""actions"": [{""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}], ""attempt"": 3, ""task_id"": ""task_region1""}]","[[""set_gen_voltage"", 1, 1.05], [""set_gen_voltage"", 8, 1.05]]","{""goal_met"": false, ""error"": ""预演中间步骤新增或恶化越限"", ""prefix"": 1}",6.311,6,"{""orchestration_agent"": {""completion_tokens"": 214, ""prompt_tokens"": 10484, ""total_tokens"": 10698}, ""planner"": {""completion_tokens"": 147, ""prompt_tokens"": 1013, ""total_tokens"": 1160}}",2,3,1,1,"[{""actual"": 1.03, ""gen_id"": 8, ""index"": 1, ""requested"": 1.05}]",0,"{""max_attempts"": 3, ""permission_shrink"": true, ""planner"": true, ""replan_mode"": ""local""}",992c67fe6b67b59ce76de462919db84afebddd67,deepseek-v4-flash,https://api.deepseek.com/v1,0.2,2048,6,1,case39-v2,0ebe047e7705c8fe96b1ee4707b7f1719e8fe9308d334335679376c9c9fb6e17,"[[""task_region1""], [""task_region2""]]"
hierarchical_full_restart,2,0,4,4,6,0,3738,13769,"[""all"", ""all""]",0,0,3,8,"[{""actions"": [{""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.06}, {""gen_id"": 8, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.06}], ""attempt"": 1, ""task_id"": ""task_region1""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 1, ""task_id"": ""task_region2""}, {""actions"": [{""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.06}, {""gen_id"": 8, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.06}], ""attempt"": 2, ""task_id"": ""task_region1""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 2, ""task_id"": ""task_region2""}, {""actions"": [{""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.06}, {""gen_id"": 8, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.06}], ""attempt"": 3, ""task_id"": ""task_region1""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 3, ""task_id"": ""task_region2""}]","[[""set_gen_voltage"", 1, 1.06], [""set_gen_voltage"", 8, 1.06], [""set_gen_voltage"", 1, 1.06], [""set_gen_voltage"", 8, 1.06]]","{""goal_met"": false, ""error"": ""真实动作预算不足或空方案""}",7.599,7,"{""orchestration_agent"": {""completion_tokens"": 282, ""prompt_tokens"": 12319, ""total_tokens"": 12601}, ""planner"": {""completion_tokens"": 155, ""prompt_tokens"": 1013, ""total_tokens"": 1168}}",2,3,1,1,"[{""actual"": 1.03, ""gen_id"": 8, ""index"": 1, ""requested"": 1.06}, {""actual"": 1.03, ""gen_id"": 8, ""index"": 3, ""requested"": 1.06}]",0,"{""max_attempts"": 3, ""permission_shrink"": true, ""planner"": true, ""replan_mode"": ""full""}",992c67fe6b67b59ce76de462919db84afebddd67,deepseek-v4-flash,https://api.deepseek.com/v1,0.2,2048,6,1,case39-v2,0ebe047e7705c8fe96b1ee4707b7f1719e8fe9308d334335679376c9c9fb6e17,"[[""task_region1""], [""task_region2""]]"
hierarchical_no_shrink,2,0,0,0,2,0,7476,21920,"[""task_region1"", ""task_region2"", ""task_region1"", ""task_region2""]",0,0,3,8,"[{""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 8, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}], ""attempt"": 1, ""task_id"": ""task_region1""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 1, ""task_id"": ""task_region2""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 2, ""task_id"": ""task_region1""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 2, ""task_id"": ""task_region2""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}], ""attempt"": 3, ""task_id"": ""task_region1""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 3, ""task_id"": ""task_region2""}]",[],"{""goal_met"": false, ""error"": ""预演中间步骤新增或恶化越限"", ""prefix"": 3}",7.156,7,"{""orchestration_agent"": {""completion_tokens"": 303, ""prompt_tokens"": 20463, ""total_tokens"": 20766}, ""planner"": {""completion_tokens"": 141, ""prompt_tokens"": 1013, ""total_tokens"": 1154}}",2,3,0,1,[],0,"{""max_attempts"": 3, ""permission_shrink"": false, ""planner"": true, ""replan_mode"": ""local""}",992c67fe6b67b59ce76de462919db84afebddd67,deepseek-v4-flash,https://api.deepseek.com/v1,0.2,2048,6,1,case39-v2,0ebe047e7705c8fe96b1ee4707b7f1719e8fe9308d334335679376c9c9fb6e17,"[[""task_region1""], [""task_region2""]]"
