method,repeat,success,real_actions_used,wasted_actions,duplicate_tool_calls,illegal_tool_calls,catalog_tokens,total_tokens,replanned_tasks,zone3_touched,scope_hit,tree_depth,d0,proposed_actions,actual_actions,error,elapsed_seconds,llm_calls,tokens_by_source,dag_task_count,attempts,hidden_limit_triggered,first_attempt_deviation,clipped_actions,out_of_scope_proposals,method_config,git_commit,model,base_url,temperature,max_tokens,max_actions,formal,prompt_version,protocol_hash,partitions
hierarchical,1,1,5,2,2,0,3071,12170,"[""task_region1_voltage_recovery"", ""task_region2_voltage_recovery"", ""task_region1_voltage_recovery""]",0,0,3,8,"[{""actions"": [{""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.04}, {""gen_id"": 8, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.04}], ""attempt"": 1, ""task_id"": ""task_region1_voltage_recovery""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 1, ""task_id"": ""task_region2_voltage_recovery""}, {""actions"": [{""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.05}, {""gen_id"": 8, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.05}], ""attempt"": 2, ""task_id"": ""task_region1_voltage_recovery""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.04}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.04}], ""attempt"": 2, ""task_id"": ""task_region2_voltage_recovery""}, {""actions"": [{""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.05}], ""attempt"": 3, ""task_id"": ""task_region1_voltage_recovery""}]","[[""set_gen_voltage"", 1, 1.05], [""set_gen_voltage"", 8, 1.05], [""set_gen_voltage"", 1, 1.05], [""set_gen_voltage"", 0, 1.04], [""set_gen_voltage"", 6, 1.04]]",,7.704,6,"{""orchestration_agent"": {""completion_tokens"": 214, ""prompt_tokens"": 10776, ""total_tokens"": 10990}, ""planner"": {""completion_tokens"": 167, ""prompt_tokens"": 1013, ""total_tokens"": 1180}}",2,3,1,1,"[{""actual"": 1.03, ""gen_id"": 8, ""index"": 1, ""requested"": 1.05}]",0,"{""max_attempts"": 3, ""permission_shrink"": true, ""planner"": true, ""replan_mode"": ""local""}",939386fa8858383962913c70306d108db36099e5,deepseek-v4-flash,https://api.deepseek.com/v1,0.2,2048,6,1,case39-v3,a2e1c34e64a4247d61f126e89d85592a7307b63e0a28faaac9ba0803ac6c4dda,"[[""task_region1_voltage_recovery""], [""task_region2_voltage_recovery""]]"
two_layer,1,0,0,0,0,2,3738,10669,"[""whole"", ""whole""]",0,2,2,0,"[{""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 5, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 8, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}], ""attempt"": 1, ""task_id"": ""whole""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 2, ""task_id"": ""whole""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 5, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.01}], ""attempt"": 3, ""task_id"": ""whole""}]",[],设备超出允许操作区域权限,4.387,3,"{""orchestration_agent"": {""completion_tokens"": 204, ""prompt_tokens"": 10465, ""total_tokens"": 10669}, ""planner"": {""completion_tokens"": 0, ""prompt_tokens"": 0, ""total_tokens"": 0}}",0,3,0,1,[],2,"{""max_attempts"": 3, ""permission_shrink"": false, ""planner"": false, ""replan_mode"": ""local""}",939386fa8858383962913c70306d108db36099e5,deepseek-v4-flash,https://api.deepseek.com/v1,0.2,2048,6,1,case39-v3,a2e1c34e64a4247d61f126e89d85592a7307b63e0a28faaac9ba0803ac6c4dda,[]
two_layer_full_restart,1,0,0,0,2,1,3738,10690,"[""whole"", ""whole""]",0,1,2,0,"[{""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 8, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}], ""attempt"": 1, ""task_id"": ""whole""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 2, ""task_id"": ""whole""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.0}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.0}, {""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 2, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}], ""attempt"": 3, ""task_id"": ""whole""}]",[],设备超出允许操作区域权限,2.553,3,"{""orchestration_agent"": {""completion_tokens"": 204, ""prompt_tokens"": 10486, ""total_tokens"": 10690}, ""planner"": {""completion_tokens"": 0, ""prompt_tokens"": 0, ""total_tokens"": 0}}",0,3,0,1,[],1,"{""max_attempts"": 3, ""permission_shrink"": false, ""planner"": false, ""replan_mode"": ""full""}",939386fa8858383962913c70306d108db36099e5,deepseek-v4-flash,https://api.deepseek.com/v1,0.2,2048,6,1,case39-v3,a2e1c34e64a4247d61f126e89d85592a7307b63e0a28faaac9ba0803ac6c4dda,[]
two_layer,2,0,0,0,2,0,3738,10648,"[""whole"", ""whole""]",0,0,2,0,"[{""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 8, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}], ""attempt"": 1, ""task_id"": ""whole""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.96}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.96}], ""attempt"": 2, ""task_id"": ""whole""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 3, ""task_id"": ""whole""}]",[],"{""success"": true, ""action"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 0.98}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 0.98}], ""goal_met"": false, ""goal_bus_vm"": null, ""goal_shortfall"": 0, ""violation_count"": 6, ""violations"": [{""type"": ""voltage_low"", ""bus_id"": 3, ""value"": 0.942034, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 4, ""value"": 0.939023, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 5, ""value"": 0.942332, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 6, ""value"": 0.927151, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 7, ""value"": 0.92698, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 11, ""value"": 0.940026, ""limit"": 0.95}], ""violations_by_zone"": {""1"": [{""type"": ""voltage_low"", ""bus_id"": 3, ""value"": 0.942034, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 4, ""value"": 0.939023, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 5, ""value"": 0.942332, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 6, ""value"": 0.927151, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 7, ""value"": 0.92698, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 11, ""value"": 0.940026, ""limit"": 0.95}]}, ""not_worse"": true}",3.639,3,"{""orchestration_agent"": {""completion_tokens"": 162, ""prompt_tokens"": 10486, ""total_tokens"": 10648}, ""planner"": {""completion_tokens"": 0, ""prompt_tokens"": 0, ""total_tokens"": 0}}",0,3,0,1,[],0,"{""max_attempts"": 3, ""permission_shrink"": false, ""planner"": false, ""replan_mode"": ""local""}",939386fa8858383962913c70306d108db36099e5,deepseek-v4-flash,https://api.deepseek.com/v1,0.2,2048,6,1,case39-v3,a2e1c34e64a4247d61f126e89d85592a7307b63e0a28faaac9ba0803ac6c4dda,[]
two_layer_full_restart,2,0,0,0,2,1,3738,10669,"[""whole"", ""whole""]",0,1,2,0,"[{""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 1, ""task_id"": ""whole""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.0}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.0}, {""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 2, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}], ""attempt"": 2, ""task_id"": ""whole""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 8, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}], ""attempt"": 3, ""task_id"": ""whole""}]",[],"{""goal_met"": false, ""error"": ""预演中间步骤新增或恶化越限"", ""prefix"": 3}",3.493,3,"{""orchestration_agent"": {""completion_tokens"": 204, ""prompt_tokens"": 10465, ""total_tokens"": 10669}, ""planner"": {""completion_tokens"": 0, ""prompt_tokens"": 0, ""total_tokens"": 0}}",0,3,0,1,[],1,"{""max_attempts"": 3, ""permission_shrink"": false, ""planner"": false, ""replan_mode"": ""full""}",939386fa8858383962913c70306d108db36099e5,deepseek-v4-flash,https://api.deepseek.com/v1,0.2,2048,6,1,case39-v3,a2e1c34e64a4247d61f126e89d85592a7307b63e0a28faaac9ba0803ac6c4dda,[]
hierarchical,2,1,5,2,2,0,1811,7182,"[""task_region1_voltage_recovery""]",0,0,3,8,"[{""actions"": [{""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.06}, {""gen_id"": 8, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.06}], ""attempt"": 1, ""task_id"": ""task_region1_voltage_recovery""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 1, ""task_id"": ""task_region2_voltage_recovery""}, {""actions"": [{""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.06}], ""attempt"": 2, ""task_id"": ""task_region1_voltage_recovery""}]","[[""set_gen_voltage"", 1, 1.06], [""set_gen_voltage"", 8, 1.06], [""set_gen_voltage"", 1, 1.06], [""set_gen_voltage"", 0, 0.98], [""set_gen_voltage"", 6, 0.98]]",,4.713,4,"{""orchestration_agent"": {""completion_tokens"": 120, ""prompt_tokens"": 5878, ""total_tokens"": 5998}, ""planner"": {""completion_tokens"": 171, ""prompt_tokens"": 1013, ""total_tokens"": 1184}}",2,2,1,1,"[{""actual"": 1.03, ""gen_id"": 8, ""index"": 1, ""requested"": 1.06}]",0,"{""max_attempts"": 3, ""permission_shrink"": true, ""planner"": true, ""replan_mode"": ""local""}",939386fa8858383962913c70306d108db36099e5,deepseek-v4-flash,https://api.deepseek.com/v1,0.2,2048,6,1,case39-v3,a2e1c34e64a4247d61f126e89d85592a7307b63e0a28faaac9ba0803ac6c4dda,"[[""task_region1_voltage_recovery""], [""task_region2_voltage_recovery""]]"
two_layer_full_restart,3,0,0,0,2,1,3738,10648,"[""whole"", ""whole""]",0,1,2,0,"[{""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 1, ""task_id"": ""whole""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.0}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.0}, {""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 2, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}], ""attempt"": 2, ""task_id"": ""whole""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 3, ""task_id"": ""whole""}]",[],"{""success"": true, ""action"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 0.98}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 0.98}], ""goal_met"": false, ""goal_bus_vm"": null, ""goal_shortfall"": 0, ""violation_count"": 6, ""violations"": [{""type"": ""voltage_low"", ""bus_id"": 3, ""value"": 0.942034, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 4, ""value"": 0.939023, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 5, ""value"": 0.942332, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 6, ""value"": 0.927151, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 7, ""value"": 0.92698, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 11, ""value"": 0.940026, ""limit"": 0.95}], ""violations_by_zone"": {""1"": [{""type"": ""voltage_low"", ""bus_id"": 3, ""value"": 0.942034, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 4, ""value"": 0.939023, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 5, ""value"": 0.942332, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 6, ""value"": 0.927151, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 7, ""value"": 0.92698, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 11, ""value"": 0.940026, ""limit"": 0.95}]}, ""not_worse"": true}",3.415,3,"{""orchestration_agent"": {""completion_tokens"": 183, ""prompt_tokens"": 10465, ""total_tokens"": 10648}, ""planner"": {""completion_tokens"": 0, ""prompt_tokens"": 0, ""total_tokens"": 0}}",0,3,0,1,[],1,"{""max_attempts"": 3, ""permission_shrink"": false, ""planner"": false, ""replan_mode"": ""full""}",939386fa8858383962913c70306d108db36099e5,deepseek-v4-flash,https://api.deepseek.com/v1,0.2,2048,6,1,case39-v3,a2e1c34e64a4247d61f126e89d85592a7307b63e0a28faaac9ba0803ac6c4dda,[]
hierarchical,3,1,5,2,2,0,1811,7126,"[""task_region1""]",0,0,3,8,"[{""actions"": [{""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.06}, {""gen_id"": 8, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.06}], ""attempt"": 1, ""task_id"": ""task_region1""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 1, ""task_id"": ""task_region2""}, {""actions"": [{""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.06}], ""attempt"": 2, ""task_id"": ""task_region1""}]","[[""set_gen_voltage"", 1, 1.06], [""set_gen_voltage"", 8, 1.06], [""set_gen_voltage"", 1, 1.06], [""set_gen_voltage"", 0, 0.98], [""set_gen_voltage"", 6, 0.98]]",,4.896,4,"{""orchestration_agent"": {""completion_tokens"": 120, ""prompt_tokens"": 5850, ""total_tokens"": 5970}, ""planner"": {""completion_tokens"": 143, ""prompt_tokens"": 1013, ""total_tokens"": 1156}}",2,2,1,1,"[{""actual"": 1.03, ""gen_id"": 8, ""index"": 1, ""requested"": 1.06}]",0,"{""max_attempts"": 3, ""permission_shrink"": true, ""planner"": true, ""replan_mode"": ""local""}",939386fa8858383962913c70306d108db36099e5,deepseek-v4-flash,https://api.deepseek.com/v1,0.2,2048,6,1,case39-v3,a2e1c34e64a4247d61f126e89d85592a7307b63e0a28faaac9ba0803ac6c4dda,"[[""task_region1""], [""task_region2""]]"
two_layer,3,0,0,0,2,1,3738,10690,"[""whole"", ""whole""]",0,1,2,0,"[{""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 8, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}], ""attempt"": 1, ""task_id"": ""whole""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 2, ""task_id"": ""whole""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.0}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.0}, {""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}, {""gen_id"": 2, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.02}], ""attempt"": 3, ""task_id"": ""whole""}]",[],设备超出允许操作区域权限,3.133,3,"{""orchestration_agent"": {""completion_tokens"": 204, ""prompt_tokens"": 10486, ""total_tokens"": 10690}, ""planner"": {""completion_tokens"": 0, ""prompt_tokens"": 0, ""total_tokens"": 0}}",0,3,0,1,[],1,"{""max_attempts"": 3, ""permission_shrink"": false, ""planner"": false, ""replan_mode"": ""local""}",939386fa8858383962913c70306d108db36099e5,deepseek-v4-flash,https://api.deepseek.com/v1,0.2,2048,6,1,case39-v3,a2e1c34e64a4247d61f126e89d85592a7307b63e0a28faaac9ba0803ac6c4dda,[]
hierarchical,4,0,0,0,1,1,3130,12175,"[""task_region1_voltage_recovery"", ""task_region2_voltage_recovery"", ""task_region1_voltage_recovery""]",0,1,3,8,"[{""actions"": [{""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.04}], ""attempt"": 1, ""task_id"": ""task_region1_voltage_recovery""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 1, ""task_id"": ""task_region2_voltage_recovery""}, {""actions"": [{""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.05}, {""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.0}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.0}], ""attempt"": 2, ""task_id"": ""task_region1_voltage_recovery""}, {""actions"": [{""gen_id"": 1, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.04}, {""gen_id"": 8, ""type"": ""set_gen_voltage"", ""vm_pu"": 1.04}], ""attempt"": 3, ""task_id"": ""task_region1_voltage_recovery""}, {""actions"": [{""gen_id"": 0, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}, {""gen_id"": 6, ""type"": ""set_gen_voltage"", ""vm_pu"": 0.98}], ""attempt"": 3, ""task_id"": ""task_region2_voltage_recovery""}]",[],"{""success"": true, ""action"": [{""type"": ""set_gen_voltage"", ""gen_id"": 1, ""vm_pu"": 1.04}, {""type"": ""set_gen_voltage"", ""gen_id"": 8, ""vm_pu"": 1.04}, {""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 0.98}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 0.98}], ""goal_met"": false, ""goal_bus_vm"": null, ""goal_shortfall"": 0, ""violation_count"": 2, ""violations"": [{""type"": ""voltage_low"", ""bus_id"": 6, ""value"": 0.949273, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 7, ""value"": 0.948771, ""limit"": 0.95}], ""violations_by_zone"": {""1"": [{""type"": ""voltage_low"", ""bus_id"": 6, ""value"": 0.949273, ""limit"": 0.95}, {""type"": ""voltage_low"", ""bus_id"": 7, ""value"": 0.948771, ""limit"": 0.95}]}, ""not_worse"": true}",6.615,6,"{""orchestration_agent"": {""completion_tokens"": 235, ""prompt_tokens"": 10765, ""total_tokens"": 11000}, ""planner"": {""completion_tokens"": 162, ""prompt_tokens"": 1013, ""total_tokens"": 1175}}",2,3,0,1,[],1,"{""max_attempts"": 3, ""permission_shrink"": true, ""planner"": true, ""replan_mode"": ""local""}",939386fa8858383962913c70306d108db36099e5,deepseek-v4-flash,https://api.deepseek.com/v1,0.2,2048,6,1,case39-v3,a2e1c34e64a4247d61f126e89d85592a7307b63e0a28faaac9ba0803ac6c4dda,"[[""task_region1_voltage_recovery""], [""task_region2_voltage_recovery""]]"
