method,repeat,success,real_actions_used,wasted_actions,duplicate_tool_calls,illegal_tool_calls,catalog_tokens,total_tokens,replanned_tasks,zone3_touched,scope_hit,tree_depth,d0,proposed_actions,actual_actions,error,elapsed_seconds
hierarchical,1,0,0,0,4,0,4893,16248,"[""all"", ""all"", ""all""]",0,0,3,8,"[{""region"": 2, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.02}]}, {""region"": 1, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 1, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 8, ""vm_pu"": 1.04}]}, {""region"": 2, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.02}]}, {""region"": 1, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 1, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 8, ""vm_pu"": 1.04}]}, {""region"": 2, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.02}]}, {""region"": 1, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 1, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 8, ""vm_pu"": 1.04}]}]",[],联合仿真未达标,6.702
two_layer,1,0,0,0,0,3,3372,9652,"[""all"", ""all"", ""all""]",0,3,2,8,"[{""region"": null, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 1, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 2, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 3, ""vm_pu"": 1.03}, {""type"": ""set_gen_voltage"", ""gen_id"": 8, ""vm_pu"": 1.04}]}, {""region"": null, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 1, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 2, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.0}]}, {""region"": null, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 1, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 2, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 3, ""vm_pu"": 1.03}, {""type"": ""set_gen_voltage"", ""gen_id"": 4, ""vm_pu"": 1.05}]}]",[],gen_id=2 超出权限范围,4.171
two_layer_full_restart,1,0,0,0,1,1,3372,10052,"[""all"", ""all"", ""all""]",0,1,2,8,"[{""region"": null, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 1, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 2, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 3, ""vm_pu"": 1.03}, {""type"": ""set_gen_voltage"", ""gen_id"": 8, ""vm_pu"": 1.04}]}, {""region"": null, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.0}]}, {""region"": null, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.0}]}]",[],联合仿真未达标,3.69
hierarchical,2,0,0,0,4,0,4893,16248,"[""all"", ""all"", ""all""]",0,0,3,8,"[{""region"": 2, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.02}]}, {""region"": 1, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 1, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 8, ""vm_pu"": 1.04}]}, {""region"": 2, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.02}]}, {""region"": 1, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 1, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 8, ""vm_pu"": 1.04}]}, {""region"": 2, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.02}]}, {""region"": 1, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 1, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 8, ""vm_pu"": 1.04}]}]",[],联合仿真未达标,6.479
two_layer,2,0,0,0,0,3,3372,9652,"[""all"", ""all"", ""all""]",0,3,2,8,"[{""region"": null, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 1, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 2, ""vm_pu"": 1.02}]}, {""region"": null, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 1, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 2, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 3, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 4, ""vm_pu"": 1.05}]}, {""region"": null, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 1, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 2, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 3, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 4, ""vm_pu"": 1.02}]}]",[],gen_id=2 超出权限范围,3.892
two_layer_full_restart,2,0,0,0,1,1,3372,10052,"[""all"", ""all"", ""all""]",0,1,2,8,"[{""region"": null, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 1, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 2, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 3, ""vm_pu"": 1.03}, {""type"": ""set_gen_voltage"", ""gen_id"": 8, ""vm_pu"": 1.04}]}, {""region"": null, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.0}]}, {""region"": null, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.0}]}]",[],联合仿真未达标,3.349
hierarchical,3,1,6,3,0,0,2285,6692,"[""region1""]",0,0,3,8,"[{""region"": 2, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.0}]}, {""region"": 1, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 1, ""vm_pu"": 1.05}, {""type"": ""set_gen_voltage"", ""gen_id"": 8, ""vm_pu"": 1.05}]}, {""region"": 1, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 1, ""vm_pu"": 1.05}, {""type"": ""set_gen_voltage"", ""gen_id"": 8, ""vm_pu"": 1.03}]}]","[[""set_gen_voltage"", 0, 1.0], [""set_gen_voltage"", 6, 1.0], [""set_gen_voltage"", 1, 1.05], [""set_gen_voltage"", 8, 1.05], [""set_gen_voltage"", 1, 1.05], [""set_gen_voltage"", 8, 1.03]]",,3.213
two_layer,3,0,0,0,2,0,3372,10494,"[""all"", ""all"", ""all""]",0,0,2,8,"[{""region"": null, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.0}]}, {""region"": null, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.0}]}, {""region"": null, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.0}]}]",[],联合仿真未达标,3.492
two_layer_full_restart,3,0,0,0,0,2,3372,9568,"[""all"", ""all"", ""all""]",0,2,2,8,"[{""region"": null, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 1, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 2, ""vm_pu"": 1.02}]}, {""region"": null, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 1, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 2, ""vm_pu"": 1.02}, {""type"": ""set_gen_voltage"", ""gen_id"": 3, ""vm_pu"": 1.03}, {""type"": ""set_gen_voltage"", ""gen_id"": 4, ""vm_pu"": 1.05}]}, {""region"": null, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.0}]}]",[],联合仿真未达标,3.513
hierarchical,4,0,6,2,0,0,2939,8282,"[""region1"", ""region1"", ""region1""]",0,0,3,8,"[{""region"": 2, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 0, ""vm_pu"": 1.0}, {""type"": ""set_gen_voltage"", ""gen_id"": 6, ""vm_pu"": 1.0}]}, {""region"": 1, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 1, ""vm_pu"": 1.05}, {""type"": ""set_gen_voltage"", ""gen_id"": 8, ""vm_pu"": 1.05}]}, {""region"": 1, ""actions"": []}, {""region"": 1, ""actions"": [{""type"": ""set_gen_voltage"", ""gen_id"": 1, ""vm_pu"": 1.06}, {""type"": ""set_gen_voltage"", ""gen_id"": 8, ""vm_pu"": 1.04}]}]","[[""set_gen_voltage"", 0, 1.0], [""set_gen_voltage"", 6, 1.0], [""set_gen_voltage"", 1, 1.05], [""set_gen_voltage"", 8, 1.05], [""set_gen_voltage"", 1, 1.06], [""set_gen_voltage"", 8, 1.04]]",PARAMETER 偏差: gen8 请求 1.04，实际 1.03,4.198
