eval_version,scenario,config,repeat,success,illegal_tool_calls,duplicate_tool_calls,total_tokens,elapsed_seconds,final_voltage,tree_depth,d0,root_success,failed_tasks,replan_count,error
log2_depth_two_layer_v2,bus14_low,full_method,1,1,0,0,7386,13.603,1.002682,3,0.2,1,,0,
log2_depth_two_layer_v2,bus14_low,full_method,2,1,0,8,12126,24.1,1.015834,3,0.2,1,,1,
log2_depth_two_layer_v2,bus14_low,no_permission_shrink,1,1,0,0,4819,8.813,1.002682,3,0.2,1,,0,
log2_depth_two_layer_v2,bus14_low,no_permission_shrink,2,1,0,0,5887,11.572,1.002682,3,0.2,1,,0,
log2_depth_two_layer_v2,bus14_low,full_replan_fixed_depth,1,1,0,0,4663,8.269,1.002682,3,0.2,1,,0,
log2_depth_two_layer_v2,bus14_low,full_replan_fixed_depth,2,1,0,27,15403,25.843,1.002682,3,0.2,1,,2,
log2_depth_two_layer_v2,bus14_low,two_layer_orch_exec,1,1,0,0,1990,4.989,1.002682,2,,0,baseline,0,操作后存在 5 项约束违规
log2_depth_two_layer_v2,bus14_low,two_layer_orch_exec,2,1,0,0,4169,8.607,1.002682,2,,1,,0,
log2_depth_two_layer_v2,bus13_low,full_method,1,1,0,0,5472,10.02,1.003731,3,0.2,1,,0,
log2_depth_two_layer_v2,bus13_low,full_method,2,1,0,0,7416,12.936,1.003731,3,0.2,1,,0,
log2_depth_two_layer_v2,bus13_low,no_permission_shrink,1,1,0,0,5105,9.152,1.003731,3,0.2,1,,0,
log2_depth_two_layer_v2,bus13_low,no_permission_shrink,2,1,0,0,5838,10.503,1.003731,3,0.2,1,,0,
log2_depth_two_layer_v2,bus13_low,full_replan_fixed_depth,1,1,0,39,18653,33.514,1.003731,3,0.2,0,"t2,t3",3,t2: 操作后存在 5 项约束违规; t2: 操作后存在 5 项约束违规; t2: 操作后存在 5 项约束违规
log2_depth_two_layer_v2,bus13_low,full_replan_fixed_depth,2,1,0,49,14416,25.562,1.003731,3,0.2,0,"t2,t3",3,t2: 操作后存在 5 项约束违规; t2: 操作后存在 5 项约束违规; t2: 操作后存在 5 项约束违规
log2_depth_two_layer_v2,bus13_low,two_layer_orch_exec,1,1,0,0,1901,4.536,1.003731,2,,1,,0,
log2_depth_two_layer_v2,bus13_low,two_layer_orch_exec,2,1,0,0,3993,7.962,1.003731,2,,1,,0,
